Edad	Sexo	Unidad	Periodo	Total
De 60 a 64 años	Ambos sexos	Porcentaje	2008T2	3,7
De 60 a 64 años	Ambos sexos	Porcentaje	2008T1	3,7
De 60 a 64 años	Ambos sexos	Porcentaje	2007T4	3,6
De 60 a 64 años	Ambos sexos	Porcentaje	2007T3	3,5
De 60 a 64 años	Ambos sexos	Porcentaje	2007T2	3,6
De 60 a 64 años	Ambos sexos	Porcentaje	2007T1	3,5
De 60 a 64 años	Ambos sexos	Porcentaje	2006T4	3,5
De 60 a 64 años	Ambos sexos	Porcentaje	2006T3	3,4
De 60 a 64 años	Ambos sexos	Porcentaje	2006T2	3,5
De 60 a 64 años	Ambos sexos	Porcentaje	2006T1	3,5
De 60 a 64 años	Ambos sexos	Porcentaje	2005T4	3,4
De 60 a 64 años	Ambos sexos	Porcentaje	2005T3	3,4
De 60 a 64 años	Ambos sexos	Porcentaje	2005T2	3,4
De 60 a 64 años	Ambos sexos	Porcentaje	2005T1	3,4
De 60 a 64 años	Ambos sexos	Porcentaje	2004T4	3,4
De 60 a 64 años	Ambos sexos	Porcentaje	2004T3	3,3
De 60 a 64 años	Ambos sexos	Porcentaje	2004T2	3,3
De 60 a 64 años	Ambos sexos	Porcentaje	2004T1	3,2
De 60 a 64 años	Ambos sexos	Porcentaje	2003T4	3,2
De 60 a 64 años	Ambos sexos	Porcentaje	2003T3	3,1
De 60 a 64 años	Ambos sexos	Porcentaje	2003T2	3,1
De 60 a 64 años	Ambos sexos	Porcentaje	2003T1	3,1
De 60 a 64 años	Ambos sexos	Porcentaje	2002T4	3,0
De 60 a 64 años	Ambos sexos	Porcentaje	2002T3	3,0
De 60 a 64 años	Ambos sexos	Porcentaje	2002T2	3,0
De 60 a 64 años	Ambos sexos	Porcentaje	2002T1	3,0
De 60 a 64 años	Hombres	Valor absoluto	2022T3	907,4
De 60 a 64 años	Hombres	Valor absoluto	2022T2	891,4
De 60 a 64 años	Hombres	Valor absoluto	2022T1	868,8
De 60 a 64 años	Hombres	Valor absoluto	2021T4	874,4
De 60 a 64 años	Hombres	Valor absoluto	2021T3	874,7
De 60 a 64 años	Hombres	Valor absoluto	2021T2	835,2
De 60 a 64 años	Hombres	Valor absoluto	2021T1	808,1
De 60 a 64 años	Hombres	Valor absoluto	2020T4	814,2
De 60 a 64 años	Hombres	Valor absoluto	2020T3	809,1
De 60 a 64 años	Hombres	Valor absoluto	2020T2	780,1
De 60 a 64 años	Hombres	Valor absoluto	2020T1	786,5
De 60 a 64 años	Hombres	Valor absoluto	2019T4	772,6
De 60 a 64 años	Hombres	Valor absoluto	2019T3	738,1
De 60 a 64 años	Hombres	Valor absoluto	2019T2	728,6
De 60 a 64 años	Hombres	Valor absoluto	2019T1	711,2
De 60 a 64 años	Hombres	Valor absoluto	2018T4	714,4
De 60 a 64 años	Hombres	Valor absoluto	2018T3	695,4
De 60 a 64 años	Hombres	Valor absoluto	2018T2	691,0
De 60 a 64 años	Hombres	Valor absoluto	2018T1	666,6
De 60 a 64 años	Hombres	Valor absoluto	2017T4	672,0
De 60 a 64 años	Hombres	Valor absoluto	2017T3	672,0
De 60 a 64 años	Hombres	Valor absoluto	2017T2	662,8
De 60 a 64 años	Hombres	Valor absoluto	2017T1	635,5
De 60 a 64 años	Hombres	Valor absoluto	2016T4	623,5
De 60 a 64 años	Hombres	Valor absoluto	2016T3	628,3
De 60 a 64 años	Hombres	Valor absoluto	2016T2	628,1
De 60 a 64 años	Hombres	Valor absoluto	2016T1	626,2
De 60 a 64 años	Hombres	Valor absoluto	2015T4	625,0
De 60 a 64 años	Hombres	Valor absoluto	2015T3	614,1
De 60 a 64 años	Hombres	Valor absoluto	2015T2	596,1
De 60 a 64 años	Hombres	Valor absoluto	2015T1	583,9
De 60 a 64 años	Hombres	Valor absoluto	2014T4	579,1
De 60 a 64 años	Hombres	Valor absoluto	2014T3	576,0
De 60 a 64 años	Hombres	Valor absoluto	2014T2	555,9
De 60 a 64 años	Hombres	Valor absoluto	2014T1	539,4
De 60 a 64 años	Hombres	Valor absoluto	2013T4	540,9
De 60 a 64 años	Hombres	Valor absoluto	2013T3	548,6
De 60 a 64 años	Hombres	Valor absoluto	2013T2	539,4
De 60 a 64 años	Hombres	Valor absoluto	2013T1	528,7
De 60 a 64 años	Hombres	Valor absoluto	2012T4	541,7
De 60 a 64 años	Hombres	Valor absoluto	2012T3	549,3
De 60 a 64 años	Hombres	Valor absoluto	2012T2	554,3
De 60 a 64 años	Hombres	Valor absoluto	2012T1	542,2
De 60 a 64 años	Hombres	Valor absoluto	2011T4	552,3
De 60 a 64 años	Hombres	Valor absoluto	2011T3	547,2
De 60 a 64 años	Hombres	Valor absoluto	2011T2	548,3
De 60 a 64 años	Hombres	Valor absoluto	2011T1	554,5
De 60 a 64 años	Hombres	Valor absoluto	2010T4	540,6
De 60 a 64 años	Hombres	Valor absoluto	2010T3	547,3
De 60 a 64 años	Hombres	Valor absoluto	2010T2	551,4
De 60 a 64 años	Hombres	Valor absoluto	2010T1	546,7
De 60 a 64 años	Hombres	Valor absoluto	2009T4	544,8
De 60 a 64 años	Hombres	Valor absoluto	2009T3	551,2
De 60 a 64 años	Hombres	Valor absoluto	2009T2	572,5
De 60 a 64 años	Hombres	Valor absoluto	2009T1	571,2
De 60 a 64 años	Hombres	Valor absoluto	2008T4	576,2
De 60 a 64 años	Hombres	Valor absoluto	2008T3	577,3
De 60 a 64 años	Hombres	Valor absoluto	2008T2	567,0
De 60 a 64 años	Hombres	Valor absoluto	2008T1	552,0
De 60 a 64 años	Hombres	Valor absoluto	2007T4	543,2
De 60 a 64 años	Hombres	Valor absoluto	2007T3	528,4
De 60 a 64 años	Hombres	Valor absoluto	2007T2	519,3
De 60 a 64 años	Hombres	Valor absoluto	2007T1	509,9
De 60 a 64 años	Hombres	Valor absoluto	2006T4	511,6
De 60 a 64 años	Hombres	Valor absoluto	2006T3	512,4
De 60 a 64 años	Hombres	Valor absoluto	2006T2	518,2
De 60 a 64 años	Hombres	Valor absoluto	2006T1	517,7
De 60 a 64 años	Hombres	Valor absoluto	2005T4	506,8
De 60 a 64 años	Hombres	Valor absoluto	2005T3	496,3
De 60 a 64 años	Hombres	Valor absoluto	2005T2	498,5
De 60 a 64 años	Hombres	Valor absoluto	2005T1	489,6
De 60 a 64 años	Hombres	Valor absoluto	2004T4	484,9
De 60 a 64 años	Hombres	Valor absoluto	2004T3	473,4
De 60 a 64 años	Hombres	Valor absoluto	2004T2	456,4
De 60 a 64 años	Hombres	Valor absoluto	2004T1	443,2
De 60 a 64 años	Hombres	Valor absoluto	2003T4	449,7
De 60 a 64 años	Hombres	Valor absoluto	2003T3	441,0
De 60 a 64 años	Hombres	Valor absoluto	2003T2	436,4
De 60 a 64 años	Hombres	Valor absoluto	2003T1	430,2
De 60 a 64 años	Hombres	Valor absoluto	2002T4	418,8
De 60 a 64 años	Hombres	Valor absoluto	2002T3	412,7
De 60 a 64 años	Hombres	Valor absoluto	2002T2	405,7
De 60 a 64 años	Hombres	Valor absoluto	2002T1	402,0
De 60 a 64 años	Hombres	Porcentaje	2022T3	7,3
De 60 a 64 años	Hombres	Porcentaje	2022T2	7,2
De 60 a 64 años	Hombres	Porcentaje	2022T1	7,1
De 60 a 64 años	Hombres	Porcentaje	2021T4	7,1
De 60 a 64 años	Hombres	Porcentaje	2021T3	7,1
De 60 a 64 años	Hombres	Porcentaje	2021T2	6,8
De 60 a 64 años	Hombres	Porcentaje	2021T1	6,7
De 60 a 64 años	Hombres	Porcentaje	2020T4	6,7
De 60 a 64 años	Hombres	Porcentaje	2020T3	6,6
De 60 a 64 años	Hombres	Porcentaje	2020T2	6,6
De 60 a 64 años	Hombres	Porcentaje	2020T1	6,4
De 60 a 64 años	Hombres	Porcentaje	2019T4	6,3
De 60 a 64 años	Hombres	Porcentaje	2019T3	6,0
De 60 a 64 años	Hombres	Porcentaje	2019T2	5,9
De 60 a 64 años	Hombres	Porcentaje	2019T1	5,8
De 60 a 64 años	Hombres	Porcentaje	2018T4	5,8
De 60 a 64 años	Hombres	Porcentaje	2018T3	5,7
De 60 a 64 años	Hombres	Porcentaje	2018T2	5,7
De 60 a 64 años	Hombres	Porcentaje	2018T1	5,5
De 60 a 64 años	Hombres	Porcentaje	2017T4	5,5
De 60 a 64 años	Hombres	Porcentaje	2017T3	5,5
De 60 a 64 años	Hombres	Porcentaje	2017T2	5,5
De 60 a 64 años	Hombres	Porcentaje	2017T1	5,2
De 60 a 64 años	Hombres	Porcentaje	2016T4	5,1
De 60 a 64 años	Hombres	Porcentaje	2016T3	5,1
De 60 a 64 años	Hombres	Porcentaje	2016T2	5,1
De 60 a 64 años	Hombres	Porcentaje	2016T1	5,1
De 60 a 64 años	Hombres	Porcentaje	2015T4	5,1
De 60 a 64 años	Hombres	Porcentaje	2015T3	5,0
De 60 a 64 años	Hombres	Porcentaje	2015T2	4,8
De 60 a 64 años	Hombres	Porcentaje	2015T1	4,7
De 60 a 64 años	Hombres	Porcentaje	2014T4	4,7
De 60 a 64 años	Hombres	Porcentaje	2014T3	4,6
De 60 a 64 años	Hombres	Porcentaje	2014T2	4,5
De 60 a 64 años	Hombres	Porcentaje	2014T1	4,4
De 60 a 64 años	Hombres	Porcentaje	2013T4	4,4
De 60 a 64 años	Hombres	Porcentaje	2013T3	4,4
De 60 a 64 años	Hombres	Porcentaje	2013T2	4,3
De 60 a 64 años	Hombres	Porcentaje	2013T1	4,2
De 60 a 64 años	Hombres	Porcentaje	2012T4	4,3
De 60 a 64 años	Hombres	Porcentaje	2012T3	4,3
De 60 a 64 años	Hombres	Porcentaje	2012T2	4,3
De 60 a 64 años	Hombres	Porcentaje	2012T1	4,3
De 60 a 64 años	Hombres	Porcentaje	2011T4	4,3
De 60 a 64 años	Hombres	Porcentaje	2011T3	4,2
De 60 a 64 años	Hombres	Porcentaje	2011T2	4,3
De 60 a 64 años	Hombres	Porcentaje	2011T1	4,3
De 60 a 64 años	Hombres	Porcentaje	2010T4	4,2
De 60 a 64 años	Hombres	Porcentaje	2010T3	4,2
De 60 a 64 años	Hombres	Porcentaje	2010T2	4,2
De 60 a 64 años	Hombres	Porcentaje	2010T1	4,2
De 60 a 64 años	Hombres	Porcentaje	2009T4	4,2
De 60 a 64 años	Hombres	Porcentaje	2009T3	4,2
De 60 a 64 años	Hombres	Porcentaje	2009T2	4,4
De 60 a 64 años	Hombres	Porcentaje	2009T1	4,4
De 60 a 64 años	Hombres	Porcentaje	2008T4	4,4
De 60 a 64 años	Hombres	Porcentaje	2008T3	4,4
De 60 a 64 años	Hombres	Porcentaje	2008T2	4,3
De 60 a 64 años	Hombres	Porcentaje	2008T1	4,2
De 60 a 64 años	Hombres	Porcentaje	2007T4	4,2
De 60 a 64 años	Hombres	Porcentaje	2007T3	4,1
De 60 a 64 años	Hombres	Porcentaje	2007T2	4,0
De 60 a 64 años	Hombres	Porcentaje	2007T1	4,0
De 60 a 64 años	Hombres	Porcentaje	2006T4	4,0
De 60 a 64 años	Hombres	Porcentaje	2006T3	4,0
De 60 a 64 años	Hombres	Porcentaje	2006T2	4,1
De 60 a 64 años	Hombres	Porcentaje	2006T1	4,1
De 60 a 64 años	Hombres	Porcentaje	2005T4	4,1
De 60 a 64 años	Hombres	Porcentaje	2005T3	4,0
De 60 a 64 años	Hombres	Porcentaje	2005T2	4,0
De 60 a 64 años	Hombres	Porcentaje	2005T1	4,0
De 60 a 64 años	Hombres	Porcentaje	2004T4	4,0
De 60 a 64 años	Hombres	Porcentaje	2004T3	3,9
De 60 a 64 años	Hombres	Porcentaje	2004T2	3,8
De 60 a 64 años	Hombres	Porcentaje	2004T1	3,7
De 60 a 64 años	Hombres	Porcentaje	2003T4	3,8
De 60 a 64 años	Hombres	Porcentaje	2003T3	3,7
De 60 a 64 años	Hombres	Porcentaje	2003T2	3,7
De 60 a 64 años	Hombres	Porcentaje	2003T1	3,7
De 60 a 64 años	Hombres	Porcentaje	2002T4	3,7
De 60 a 64 años	Hombres	Porcentaje	2002T3	3,6
De 60 a 64 años	Hombres	Porcentaje	2002T2	3,6
De 60 a 64 años	Hombres	Porcentaje	2002T1	3,6
De 60 a 64 años	Mujeres	Valor absoluto	2022T3	776,8
De 60 a 64 años	Mujeres	Valor absoluto	2022T2	779,2
De 60 a 64 años	Mujeres	Valor absoluto	2022T1	770,8
De 60 a 64 años	Mujeres	Valor absoluto	2021T4	752,4
De 60 a 64 años	Mujeres	Valor absoluto	2021T3	744,4
De 60 a 64 años	Mujeres	Valor absoluto	2021T2	724,6
De 60 a 64 años	Mujeres	Valor absoluto	2021T1	692,0
De 60 a 64 años	Mujeres	Valor absoluto	2020T4	681,7
De 60 a 64 años	Mujeres	Valor absoluto	2020T3	656,5
De 60 a 64 años	Mujeres	Valor absoluto	2020T2	633,9
De 60 a 64 años	Mujeres	Valor absoluto	2020T1	650,3
De 60 a 64 años	Mujeres	Valor absoluto	2019T4	636,4
De 60 a 64 años	Mujeres	Valor absoluto	2019T3	603,8
De 60 a 64 años	Mujeres	Valor absoluto	2019T2	603,4
De 60 a 64 años	Mujeres	Valor absoluto	2019T1	582,3
De 60 a 64 años	Mujeres	Valor absoluto	2018T4	571,9
De 60 a 64 años	Mujeres	Valor absoluto	2018T3	551,3
De 60 a 64 años	Mujeres	Valor absoluto	2018T2	551,9
De 60 a 64 años	Mujeres	Valor absoluto	2018T1	542,1
De 60 a 64 años	Mujeres	Valor absoluto	2017T4	535,7
De 60 a 64 años	Mujeres	Valor absoluto	2017T3	532,8
De 60 a 64 años	Mujeres	Valor absoluto	2017T2	528,8
De 60 a 64 años	Mujeres	Valor absoluto	2017T1	515,7
De 60 a 64 años	Mujeres	Valor absoluto	2016T4	516,4
De 60 a 64 años	Mujeres	Valor absoluto	2016T3	510,8
De 60 a 64 años	Mujeres	Valor absoluto	2016T2	509,0
De 60 a 64 años	Mujeres	Valor absoluto	2016T1	498,8
De 60 a 64 años	Mujeres	Valor absoluto	2015T4	490,9
De 60 a 64 años	Mujeres	Valor absoluto	2015T3	460,5
De 60 a 64 años	Mujeres	Valor absoluto	2015T2	459,3
De 60 a 64 años	Mujeres	Valor absoluto	2015T1	438,4
De 60 a 64 años	Mujeres	Valor absoluto	2014T4	436,3
De 60 a 64 años	Mujeres	Valor absoluto	2014T3	418,8
De 60 a 64 años	Mujeres	Valor absoluto	2014T2	429,3
De 60 a 64 años	Mujeres	Valor absoluto	2014T1	418,7
De 60 a 64 años	Mujeres	Valor absoluto	2013T4	404,2
De 60 a 64 años	Mujeres	Valor absoluto	2013T3	403,1
De 60 a 64 años	Mujeres	Valor absoluto	2013T2	385,2
De 60 a 64 años	Mujeres	Valor absoluto	2013T1	395,8
De 60 a 64 años	Mujeres	Valor absoluto	2012T4	389,0
De 60 a 64 años	Mujeres	Valor absoluto	2012T3	394,1
De 60 a 64 años	Mujeres	Valor absoluto	2012T2	397,2
De 60 a 64 años	Mujeres	Valor absoluto	2012T1	376,1
De 60 a 64 años	Mujeres	Valor absoluto	2011T4	379,0
De 60 a 64 años	Mujeres	Valor absoluto	2011T3	385,9
De 60 a 64 años	Mujeres	Valor absoluto	2011T2	369,7
De 60 a 64 años	Mujeres	Valor absoluto	2011T1	351,1
De 60 a 64 años	Mujeres	Valor absoluto	2010T4	356,0
De 60 a 64 años	Mujeres	Valor absoluto	2010T3	342,3
De 60 a 64 años	Mujeres	Valor absoluto	2010T2	339,4
De 60 a 64 años	Mujeres	Valor absoluto	2010T1	337,2
De 60 a 64 años	Mujeres	Valor absoluto	2009T4	328,1
De 60 a 64 años	Mujeres	Valor absoluto	2009T3	323,2
De 60 a 64 años	Mujeres	Valor absoluto	2009T2	328,6
De 60 a 64 años	Mujeres	Valor absoluto	2009T1	307,9
De 60 a 64 años	Mujeres	Valor absoluto	2008T4	302,2
De 60 a 64 años	Mujeres	Valor absoluto	2008T3	286,6
De 60 a 64 años	Mujeres	Valor absoluto	2008T2	284,8
De 60 a 64 años	Mujeres	Valor absoluto	2008T1	283,6
De 60 a 64 años	Mujeres	Valor absoluto	2007T4	272,2
De 60 a 64 años	Mujeres	Valor absoluto	2007T3	268,9
De 60 a 64 años	Mujeres	Valor absoluto	2007T2	276,5
De 60 a 64 años	Mujeres	Valor absoluto	2007T1	265,6
De 60 a 64 años	Mujeres	Valor absoluto	2006T4	252,3
De 60 a 64 años	Mujeres	Valor absoluto	2006T3	239,2
De 60 a 64 años	Mujeres	Valor absoluto	2006T2	242,0
De 60 a 64 años	Mujeres	Valor absoluto	2006T1	242,1
De 60 a 64 años	Mujeres	Valor absoluto	2005T4	229,7
De 60 a 64 años	Mujeres	Valor absoluto	2005T3	233,1
De 60 a 64 años	Mujeres	Valor absoluto	2005T2	222,3
De 60 a 64 años	Mujeres	Valor absoluto	2005T1	220,5
De 60 a 64 años	Mujeres	Valor absoluto	2004T4	210,1
De 60 a 64 años	Mujeres	Valor absoluto	2004T3	208,5
De 60 a 64 años	Mujeres	Valor absoluto	2004T2	205,5
De 60 a 64 años	Mujeres	Valor absoluto	2004T1	199,7
De 60 a 64 años	Mujeres	Valor absoluto	2003T4	189,4
De 60 a 64 años	Mujeres	Valor absoluto	2003T3	185,2
De 60 a 64 años	Mujeres	Valor absoluto	2003T2	179,4
De 60 a 64 años	Mujeres	Valor absoluto	2003T1	170,6
De 60 a 64 años	Mujeres	Valor absoluto	2002T4	162,0
De 60 a 64 años	Mujeres	Valor absoluto	2002T3	163,1
De 60 a 64 años	Mujeres	Valor absoluto	2002T2	167,0
De 60 a 64 años	Mujeres	Valor absoluto	2002T1	158,7
De 60 a 64 años	Mujeres	Porcentaje	2022T3	7,0
De 60 a 64 años	Mujeres	Porcentaje	2022T2	7,0
De 60 a 64 años	Mujeres	Porcentaje	2022T1	7,0
De 60 a 64 años	Mujeres	Porcentaje	2021T4	6,8
De 60 a 64 años	Mujeres	Porcentaje	2021T3	6,7
De 60 a 64 años	Mujeres	Porcentaje	2021T2	6,6
De 60 a 64 años	Mujeres	Porcentaje	2021T1	6,4
De 60 a 64 años	Mujeres	Porcentaje	2020T4	6,3
De 60 a 64 años	Mujeres	Porcentaje	2020T3	6,1
De 60 a 64 años	Mujeres	Porcentaje	2020T2	6,2
De 60 a 64 años	Mujeres	Porcentaje	2020T1	6,0
De 60 a 64 años	Mujeres	Porcentaje	2019T4	5,9
De 60 a 64 años	Mujeres	Porcentaje	2019T3	5,6
De 60 a 64 años	Mujeres	Porcentaje	2019T2	5,6
De 60 a 64 años	Mujeres	Porcentaje	2019T1	5,5
De 60 a 64 años	Mujeres	Porcentaje	2018T4	5,4
De 60 a 64 años	Mujeres	Porcentaje	2018T3	5,2
De 60 a 64 años	Mujeres	Porcentaje	2018T2	5,2
De 60 a 64 años	Mujeres	Porcentaje	2018T1	5,1
De 60 a 64 años	Mujeres	Porcentaje	2017T4	5,1
De 60 a 64 años	Mujeres	Porcentaje	2017T3	5,1
De 60 a 64 años	Mujeres	Porcentaje	2017T2	5,0
De 60 a 64 años	Mujeres	Porcentaje	2017T1	4,9
De 60 a 64 años	Mujeres	Porcentaje	2016T4	4,9
De 60 a 64 años	Mujeres	Porcentaje	2016T3	4,8
De 60 a 64 años	Mujeres	Porcentaje	2016T2	4,8
De 60 a 64 años	Mujeres	Porcentaje	2016T1	4,7
De 60 a 64 años	Mujeres	Porcentaje	2015T4	4,6
De 60 a 64 años	Mujeres	Porcentaje	2015T3	4,4
De 60 a 64 años	Mujeres	Porcentaje	2015T2	4,3
De 60 a 64 años	Mujeres	Porcentaje	2015T1	4,1
De 60 a 64 años	Mujeres	Porcentaje	2014T4	4,1
De 60 a 64 años	Mujeres	Porcentaje	2014T3	4,0
De 60 a 64 años	Mujeres	Porcentaje	2014T2	4,0
De 60 a 64 años	Mujeres	Porcentaje	2014T1	3,9
De 60 a 64 años	Mujeres	Porcentaje	2013T4	3,8
De 60 a 64 años	Mujeres	Porcentaje	2013T3	3,8
De 60 a 64 años	Mujeres	Porcentaje	2013T2	3,6
De 60 a 64 años	Mujeres	Porcentaje	2013T1	3,7
De 60 a 64 años	Mujeres	Porcentaje	2012T4	3,6
De 60 a 64 años	Mujeres	Porcentaje	2012T3	3,7
De 60 a 64 años	Mujeres	Porcentaje	2012T2	3,7
De 60 a 64 años	Mujeres	Porcentaje	2012T1	3,5
De 60 a 64 años	Mujeres	Porcentaje	2011T4	3,6
De 60 a 64 años	Mujeres	Porcentaje	2011T3	3,6
De 60 a 64 años	Mujeres	Porcentaje	2011T2	3,5
De 60 a 64 años	Mujeres	Porcentaje	2011T1	3,3
De 60 a 64 años	Mujeres	Porcentaje	2010T4	3,4
De 60 a 64 años	Mujeres	Porcentaje	2010T3	3,3
De 60 a 64 años	Mujeres	Porcentaje	2010T2	3,3
De 60 a 64 años	Mujeres	Porcentaje	2010T1	3,3
De 60 a 64 años	Mujeres	Porcentaje	2009T4	3,2
De 60 a 64 años	Mujeres	Porcentaje	2009T3	3,2
De 60 a 64 años	Mujeres	Porcentaje	2009T2	3,2
De 60 a 64 años	Mujeres	Porcentaje	2009T1	3,0
De 60 a 64 años	Mujeres	Porcentaje	2008T4	3,0
De 60 a 64 años	Mujeres	Porcentaje	2008T3	2,9
De 60 a 64 años	Mujeres	Porcentaje	2008T2	2,9
De 60 a 64 años	Mujeres	Porcentaje	2008T1	2,9
De 60 a 64 años	Mujeres	Porcentaje	2007T4	2,8
De 60 a 64 años	Mujeres	Porcentaje	2007T3	2,8
De 60 a 64 años	Mujeres	Porcentaje	2007T2	2,9
De 60 a 64 años	Mujeres	Porcentaje	2007T1	2,8
De 60 a 64 años	Mujeres	Porcentaje	2006T4	2,7
De 60 a 64 años	Mujeres	Porcentaje	2006T3	2,6
De 60 a 64 años	Mujeres	Porcentaje	2006T2	2,6
De 60 a 64 años	Mujeres	Porcentaje	2006T1	2,7
De 60 a 64 años	Mujeres	Porcentaje	2005T4	2,6
De 60 a 64 años	Mujeres	Porcentaje	2005T3	2,7
De 60 a 64 años	Mujeres	Porcentaje	2005T2	2,5
De 60 a 64 años	Mujeres	Porcentaje	2005T1	2,6
De 60 a 64 años	Mujeres	Porcentaje	2004T4	2,5
De 60 a 64 años	Mujeres	Porcentaje	2004T3	2,5
De 60 a 64 años	Mujeres	Porcentaje	2004T2	2,5
De 60 a 64 años	Mujeres	Porcentaje	2004T1	2,4
De 60 a 64 años	Mujeres	Porcentaje	2003T4	2,3
De 60 a 64 años	Mujeres	Porcentaje	2003T3	2,3
De 60 a 64 años	Mujeres	Porcentaje	2003T2	2,2
De 60 a 64 años	Mujeres	Porcentaje	2003T1	2,2
De 60 a 64 años	Mujeres	Porcentaje	2002T4	2,1
De 60 a 64 años	Mujeres	Porcentaje	2002T3	2,1
De 60 a 64 años	Mujeres	Porcentaje	2002T2	2,2
De 60 a 64 años	Mujeres	Porcentaje	2002T1	2,1
De 65 a 69 años	Ambos sexos	Valor absoluto	2022T3	272,9
De 65 a 69 años	Ambos sexos	Valor absoluto	2022T2	253,8
De 65 a 69 años	Ambos sexos	Valor absoluto	2022T1	256,2
De 65 a 69 años	Ambos sexos	Valor absoluto	2021T4	245,6
De 65 a 69 años	Ambos sexos	Valor absoluto	2021T3	236,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2021T2	243,2
De 65 a 69 años	Ambos sexos	Valor absoluto	2021T1	232,5
De 65 a 69 años	Ambos sexos	Valor absoluto	2020T4	233,8
De 65 a 69 años	Ambos sexos	Valor absoluto	2020T3	215,1
De 65 a 69 años	Ambos sexos	Valor absoluto	2020T2	190,6
De 65 a 69 años	Ambos sexos	Valor absoluto	2020T1	183,5
De 65 a 69 años	Ambos sexos	Valor absoluto	2019T4	173,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2019T3	175,7
De 65 a 69 años	Ambos sexos	Valor absoluto	2019T2	172,5
De 65 a 69 años	Ambos sexos	Valor absoluto	2019T1	153,2
De 65 a 69 años	Ambos sexos	Valor absoluto	2018T4	156,5
De 65 a 69 años	Ambos sexos	Valor absoluto	2018T3	159,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2018T2	152,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2018T1	143,9
De 65 a 69 años	Ambos sexos	Valor absoluto	2017T4	143,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2017T3	147,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2017T2	140,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2017T1	135,1
De 65 a 69 años	Ambos sexos	Valor absoluto	2016T4	133,7
De 65 a 69 años	Ambos sexos	Valor absoluto	2016T3	132,8
De 65 a 69 años	Ambos sexos	Valor absoluto	2016T2	131,1
De 65 a 69 años	Ambos sexos	Valor absoluto	2016T1	122,1
De 65 a 69 años	Ambos sexos	Valor absoluto	2015T4	132,2
De 65 a 69 años	Ambos sexos	Valor absoluto	2015T3	123,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2015T2	115,4
De 65 a 69 años	Ambos sexos	Valor absoluto	2015T1	114,6
De 65 a 69 años	Ambos sexos	Valor absoluto	2014T4	109,9
De 65 a 69 años	Ambos sexos	Valor absoluto	2014T3	114,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2014T2	104,7
De 65 a 69 años	Ambos sexos	Valor absoluto	2014T1	104,5
De 65 a 69 años	Ambos sexos	Valor absoluto	2013T4	112,8
De 65 a 69 años	Ambos sexos	Valor absoluto	2013T3	111,8
De 65 a 69 años	Ambos sexos	Valor absoluto	2013T2	112,9
De 65 a 69 años	Ambos sexos	Valor absoluto	2013T1	116,6
De 65 a 69 años	Ambos sexos	Valor absoluto	2012T4	126,6
De 65 a 69 años	Ambos sexos	Valor absoluto	2012T3	124,6
De 65 a 69 años	Ambos sexos	Valor absoluto	2012T2	119,7
De 65 a 69 años	Ambos sexos	Valor absoluto	2012T1	113,0
De 65 a 69 años	Ambos sexos	Valor absoluto	2011T4	122,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2011T3	105,2
De 65 a 69 años	Ambos sexos	Valor absoluto	2011T2	108,5
De 65 a 69 años	Ambos sexos	Valor absoluto	2011T1	108,5
De 65 a 69 años	Ambos sexos	Valor absoluto	2010T4	113,7
De 65 a 69 años	Ambos sexos	Valor absoluto	2010T3	112,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2010T2	115,8
De 65 a 69 años	Ambos sexos	Valor absoluto	2010T1	110,9
De 65 a 69 años	Ambos sexos	Valor absoluto	2009T4	123,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2009T3	112,8
De 65 a 69 años	Ambos sexos	Valor absoluto	2009T2	110,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2009T1	112,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2008T4	119,5
De 65 a 69 años	Ambos sexos	Valor absoluto	2008T3	116,0
De 65 a 69 años	Ambos sexos	Valor absoluto	2008T2	117,5
De 65 a 69 años	Ambos sexos	Valor absoluto	2008T1	108,6
De 65 a 69 años	Ambos sexos	Valor absoluto	2007T4	99,7
De 65 a 69 años	Ambos sexos	Valor absoluto	2007T3	102,2
De 65 a 69 años	Ambos sexos	Valor absoluto	2007T2	91,2
De 65 a 69 años	Ambos sexos	Valor absoluto	2007T1	96,7
De 65 a 69 años	Ambos sexos	Valor absoluto	2006T4	96,6
De 65 a 69 años	Ambos sexos	Valor absoluto	2006T3	102,7
De 65 a 69 años	Ambos sexos	Valor absoluto	2006T2	106,9
De 65 a 69 años	Ambos sexos	Valor absoluto	2006T1	94,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2005T4	94,9
De 65 a 69 años	Ambos sexos	Valor absoluto	2005T3	92,3
De 65 a 69 años	Ambos sexos	Valor absoluto	2005T2	89,5
